parent;predicate;child;parentLabel;childLabel
http://data.europa.eu/esco/isco/C2145;http://www.w3.org/2004/02/skos/core#narrower;http://data.europa.eu/esco/occupation/b4e26d7f-475e-4ada-b287-d669de03fb21;Chemisch ingenieurs;rubbertechnoloog
http://data.europa.eu/esco/isco/C5142;http://www.w3.org/2004/02/skos/core#narrower;http://data.europa.eu/esco/occupation/489b9a38-89a2-425c-95b9-79cec66379e1;Schoonheidsspecialisten e.d.;pedicure
http://data.europa.eu/esco/isco/C8114;http://www.w3.org/2004/02/skos/core#narrower;http://data.europa.eu/esco/occupation/990738f4-587c-4045-a10f-e3c1c019220e;Bedieningspersoneel van machines voor de vervaardiging van cement, stenen en andere minerale producten.;operator betonblokmachine
http://data.europa.eu/esco/isco/C3354;http://www.w3.org/2004/02/skos/core#narrower;http://data.europa.eu/esco/occupation/aaf732b5-ee19-4c82-a08f-700fb98f5ca7;Ambtenaren: vergunningen;functionaris burgerzaken
http://data.europa.eu/esco/isco/C2149;http://www.w3.org/2004/02/skos/core#narrower;http://data.europa.eu/esco/occupation/ab3c4d3e-3189-47ad-82af-57cdae3cb589;Ingenieurs, niet elders geclassificeerd;optisch ingenieur
http://data.europa.eu/esco/isco/C6130;http://www.w3.org/2004/02/skos/core#narrower;http://data.europa.eu/esco/occupation/4552095e-3396-4831-86ad-4fc34ec39a19;Producenten met een gemengd bedrijf;boerderijmanager
http://data.europa.eu/esco/isco/C6112;http://www.w3.org/2004/02/skos/core#narrower;http://data.europa.eu/esco/occupation/5aeaea2f-6585-4d3d-8f3e-1fdd9903aa32;Fruittelers;ploegbaas in de fruitteelt
http://data.europa.eu/esco/isco/C7233;http://www.w3.org/2004/02/skos/core#narrower;http://data.europa.eu/esco/occupation/5e748def-5b90-41e2-aa8b-2ebcc7d25ab0;Monteurs industriële en landbouwmachines;scheepsmonteur
http://data.europa.eu/esco/isco/C8121;http://www.w3.org/2004/02/skos/core#narrower;http://data.europa.eu/esco/occupation/a0f9903e-2ba5-4b9d-bb0a-a8646db15221;Bedieningspersoneel van metaalbewerkings- en metaalverwerkingsinstallaties;operator extrusiemachine
http://data.europa.eu/esco/isco/C3258;http://www.w3.org/2004/02/skos/core#narrower;http://data.europa.eu/esco/occupation/0b5dfc02-b825-4445-811d-d39ed442657e;Ambulancepersoneel;ambulanceverpleegkundige
http://data.europa.eu/esco/isco/C7231;http://www.w3.org/2004/02/skos/core#narrower;http://data.europa.eu/esco/occupation/158965f1-bd83-441c-bca8-1975b74dedc5;Automonteurs;monteur oldtimers
http://data.europa.eu/esco/isco/C3115;http://www.w3.org/2004/02/skos/core#narrower;http://data.europa.eu/esco/occupation/b31e404e-9af6-457d-a58a-208f612eeba3;Technici op het gebied van de werktuigbouwkunde;technisch ingenieur mechanica
http://data.europa.eu/esco/isco/C7231;http://www.w3.org/2004/02/skos/core#narrower;http://data.europa.eu/esco/occupation/264b00c9-84d0-4dc9-b590-aed2cea2b904;Automonteurs;eerste automonteur
http://data.europa.eu/esco/isco/C8159;http://www.w3.org/2004/02/skos/core#narrower;http://data.europa.eu/esco/occupation/2c94916d-bd7d-4855-ab89-574d2c439a63;Bedieningspersoneel van machines voor de vervaardiging van producten van textiel, bont en leer, niet elders geclassificeerd;operator ledermeetmachine
