head;relation;tail
electrical equipment production supervisor;broadMatch;production supervisor
fitness and recreation instructors and program leaders;narrowMatch;mountain guide
cocktail bartender;broadMatch;bartender
bartender;narrowMatch;cocktail bartender
barista;broadMatch;bartender
bartender;narrowMatch;barista
bartender;broadMatch;bartenders
bartenders;narrowMatch;bartender
bicycle mechanic;broadMatch;bicycle and related repairers
bicycle and related repairers;narrowMatch;bicycle mechanic
laundry worker;broadMatch;laundry machine operators
laundry machine operators;narrowMatch;laundry worker
mountain guide;broadMatch;fitness and recreation instructors and program leaders
laundry workers supervisor;broadMatch;laundry machine operators
crop production manager;broadMatch;mixed crop growers
mixed crop growers;narrowMatch;crop production manager
mine manager;broadMatch;mining managers
mining managers;narrowMatch;mine manager
quarry manager;broadMatch;mining managers
mining managers;narrowMatch;quarry manager
mining assistant;broadMatch;mining and quarrying labourers
mining and quarrying labourers;narrowMatch;mining assistant
air traffic controller;broadMatch;air traffic controllers
air traffic controllers;narrowMatch;air traffic controller
flight operations officer;broadMatch;air traffic controllers
laundry machine operators;narrowMatch;laundry workers supervisor
production supervisor;narrowMatch;leather goods production supervisor
fitness and recreation instructors and program leaders;narrowMatch;fitness instructor
fitness and recreation instructors and program leaders;narrowMatch;activity leader
production supervisor;narrowMatch;electrical equipment production supervisor
precision mechanics supervisor;broadMatch;production supervisor
production supervisor;narrowMatch;precision mechanics supervisor
animal feed supervisor;broadMatch;production supervisor
production supervisor;narrowMatch;animal feed supervisor
distillery supervisor;broadMatch;production supervisor
production supervisor;narrowMatch;distillery supervisor
metal production supervisor;broadMatch;production supervisor
production supervisor;narrowMatch;metal production supervisor
plastic and rubber products manufacturing supervisor;broadMatch;production supervisor
production supervisor;narrowMatch;plastic and rubber products manufacturing supervisor
fitness instructor;broadMatch;fitness and recreation instructors and program leaders
wood production supervisor;broadMatch;production supervisor
electronics production supervisor;broadMatch;production supervisor
production supervisor;narrowMatch;electronics production supervisor
machine operator supervisor;broadMatch;production supervisor
production supervisor;narrowMatch;machine operator supervisor
print studio supervisor;broadMatch;production supervisor
production supervisor;narrowMatch;print studio supervisor
chemical processing supervisor;broadMatch;production supervisor
production supervisor;narrowMatch;chemical processing supervisor
horse riding instructor;broadMatch;fitness and recreation instructors and program leaders
fitness and recreation instructors and program leaders;narrowMatch;horse riding instructor
activity leader;broadMatch;fitness and recreation instructors and program leaders
production supervisor;narrowMatch;wood production supervisor
application engineer;narrowMatch;logistics engineer
chemical processing plant controllers;narrowMatch;chemical processing plant controller
chemical processing plant controller;narrowMatch;chemical plant control room operator
information and communications technology service managers;narrowMatch;chief information officer
ict environmental manager;broadMatch;information and communications technology service managers
information and communications technology service managers;narrowMatch;ict environmental manager
chief data officer;broadMatch;information and communications technology service managers
information and communications technology service managers;narrowMatch;chief data officer
ict product manager;broadMatch;information and communications technology service managers
information and communications technology service managers;narrowMatch;ict product manager
chief technology officer;broadMatch;information and communications technology service managers
information and communications technology service managers;narrowMatch;chief technology officer
ict project manager;broadMatch;information and communications technology service managers
information and communications technology service managers;narrowMatch;ict project manager
chief information officer;broadMatch;information and communications technology service managers
telecommunications manager;broadMatch;information and communications technology service managers
ict documentation manager;broadMatch;information and communications technology service managers
information and communications technology service managers;narrowMatch;ict documentation manager
aquaculture hatchery manager;broadMatch;aquaculture workers
aquaculture workers;narrowMatch;aquaculture hatchery manager
aquaculture cage technician;broadMatch;aquaculture workers
aquaculture workers;narrowMatch;aquaculture cage technician
aquaculture husbandry worker;broadMatch;aquaculture workers
aquaculture workers;narrowMatch;aquaculture husbandry worker
aquaculture husbandry technician;broadMatch;aquaculture workers
aquaculture workers;narrowMatch;aquaculture husbandry technician
aquaculture rearing technician;broadMatch;aquaculture workers
information and communications technology service managers;narrowMatch;telecommunications manager
aquaculture workers;narrowMatch;aquaculture rearing technician
information and communications technology service managers;narrowMatch;ict operations manager
information and communications technology service managers;narrowMatch;ict vendor relationship manager
weaving and knitting machine operators;narrowMatch;textile machine operator
knitting machine operator;broadMatch;weaving and knitting machine operators
weaving and knitting machine operators;narrowMatch;knitting machine operator
sole and heel operator;broadMatch;footwear production machine operator
footwear production machine operator;narrowMatch;sole and heel operator
footwear maintenance technician;broadMatch;footwear production machine operator
footwear production machine operator;narrowMatch;footwear maintenance technician
cutting machine operator;broadMatch;footwear production machine operator
footwear production machine operator;narrowMatch;cutting machine operator
lasting machine operator;broadMatch;footwear production machine operator
footwear production machine operator;narrowMatch;lasting machine operator
ict operations manager;broadMatch;information and communications technology service managers
footwear stitching machine operator;broadMatch;footwear production machine operator
pre-lasting operator;broadMatch;footwear production machine operator
footwear production machine operator;narrowMatch;pre-lasting operator
pre-stitching machine operator;broadMatch;shoemaking and related machine operators
shoemaking and related machine operators;narrowMatch;pre-stitching machine operator
leather goods machine operator;broadMatch;shoemaking and related machine operators
shoemaking and related machine operators;narrowMatch;leather goods machine operator
automated cutting machine operator;broadMatch;shoemaking and related machine operators
shoemaking and related machine operators;narrowMatch;automated cutting machine operator
footwear production machine operator;broadMatch;shoemaking and related machine operators
shoemaking and related machine operators;narrowMatch;footwear production machine operator
ict vendor relationship manager;broadMatch;information and communications technology service managers
footwear production machine operator;narrowMatch;footwear stitching machine operator
chemical processing plant controller;broadMatch;chemical processing plant controllers
aquaculture mooring manager;broadMatch;aquaculture workers
water-based aquaculture technician;broadMatch;aquaculture workers
animal producers not elsewhere classified;narrowMatch;fur animals breeder
leather goods hand cutting operator;broadMatch;leather goods manual operator
leather goods manual operator;narrowMatch;leather goods hand cutting operator
leather goods hand stitcher;broadMatch;leather goods manual operator
leather goods manual operator;narrowMatch;leather goods hand stitcher
leather goods finishing operator;broadMatch;leather goods manual operator
leather goods manual operator;narrowMatch;leather goods finishing operator
hand luggage inspector;broadMatch;customs and border inspectors
customs and border inspectors;narrowMatch;hand luggage inspector
immigration officer;broadMatch;customs and border inspectors
customs and border inspectors;narrowMatch;immigration officer
fur animals breeder;broadMatch;animal producers not elsewhere classified
customs officer;broadMatch;customs and border inspectors
forest worker;broadMatch;forestry labourers
forestry labourers;narrowMatch;forest worker
gas processing plant supervisor;broadMatch;chemical processing plant controller
chemical processing plant controller;narrowMatch;gas processing plant supervisor
gas station operator;broadMatch;chemical processing plant controller
chemical processing plant controller;narrowMatch;gas station operator
air separation plant operator;broadMatch;chemical processing plant controller
chemical processing plant controller;narrowMatch;air separation plant operator
biogas technician;broadMatch;chemical processing plant controller
chemical processing plant controller;narrowMatch;biogas technician
chemical plant control room operator;broadMatch;chemical processing plant controller
customs and border inspectors;narrowMatch;customs officer
aquaculture workers;narrowMatch;aquaculture mooring manager
bank tellers and related clerks;narrowMatch;bank teller
bank tellers and related clerks;narrowMatch;post office counter clerk
aquaculture workers;narrowMatch;water-based aquaculture technician
aquaculture harvesting technician;broadMatch;aquaculture workers
aquaculture workers;narrowMatch;aquaculture harvesting technician
aquaculture hatchery worker;broadMatch;aquaculture workers
aquaculture workers;narrowMatch;aquaculture hatchery worker
aquaculture hatchery technician;broadMatch;aquaculture workers
aquaculture workers;narrowMatch;aquaculture hatchery technician
aquaculture recirculation technician;broadMatch;aquaculture workers
aquaculture workers;narrowMatch;aquaculture recirculation technician
nursery school head teacher;broadMatch;child care services managers
child care services managers;narrowMatch;nursery school head teacher
bank teller;broadMatch;bank tellers and related clerks
child day care centre manager;broadMatch;child care services managers
child care coordinator;broadMatch;child care services managers
child care services managers;narrowMatch;child care coordinator
truck driving instructor;broadMatch;driving instructor
driving instructor;narrowMatch;truck driving instructor
bus driving instructor;broadMatch;driving instructor
driving instructor;narrowMatch;bus driving instructor
car driving instructor;broadMatch;driving instructor
driving instructor;narrowMatch;car driving instructor
motorcycle instructor;broadMatch;driving instructor
driving instructor;narrowMatch;motorcycle instructor
post office counter clerk;broadMatch;bank tellers and related clerks
child care services managers;narrowMatch;child day care centre manager
logistics engineer;broadMatch;application engineer
application engineer;narrowMatch;calculation engineer
calculation engineer;broadMatch;application engineer
environmental engineer;broadMatch;environmental engineers
environmental engineers;narrowMatch;environmental engineer
wastewater engineer;broadMatch;environmental engineers
environmental engineers;narrowMatch;wastewater engineer
environmental expert;broadMatch;environmental engineers
environmental engineers;narrowMatch;environmental expert
lawyer linguist;broadMatch;linguist
linguist;narrowMatch;lawyer linguist
police officer;broadMatch;police officers
police officers;narrowMatch;police officer
language school teacher;broadMatch;other language teachers
chief data officer;narrowMatch;ict information and knowledge manager
other language teachers;narrowMatch;language school teacher
other language teachers;narrowMatch;sign language teacher
file clerk;broadMatch;filing and copying clerks
filing and copying clerks;narrowMatch;file clerk
street sweeper;broadMatch;sweepers and related labourers
sweepers and related labourers;narrowMatch;street sweeper
laundry ironer;broadMatch;laundry worker
laundry worker;narrowMatch;laundry ironer
wood technology engineer;broadMatch;materials engineer
materials engineer;narrowMatch;wood technology engineer
nanoengineer;broadMatch;materials engineer
materials engineer;narrowMatch;nanoengineer
sign language teacher;broadMatch;other language teachers
herbal therapist;broadMatch;traditional and complementary medicine associate professionals
ict information and knowledge manager;broadMatch;chief data officer
climatologist;broadMatch;meteorologist
pharmaceutical engineer;broadMatch;chemical engineer
chemical engineer;narrowMatch;pharmaceutical engineer
biochemical engineer;broadMatch;chemical engineer
chemical engineer;narrowMatch;biochemical engineer
railway sales agent;broadMatch;ticket sales agent
ticket sales agent;narrowMatch;railway sales agent
handyman;broadMatch;odd job persons
odd job persons;narrowMatch;handyman
textile quality inspector;broadMatch;product quality inspector
product quality inspector;narrowMatch;textile quality inspector
precision device inspector;broadMatch;product quality inspector
meteorologist;narrowMatch;climatologist
product quality inspector;narrowMatch;precision device inspector
product quality inspector;narrowMatch;clothing quality inspector
cigar inspector;broadMatch;product quality inspector
product quality inspector;narrowMatch;cigar inspector
poultry sexer;broadMatch;poultry producers
poultry producers;narrowMatch;poultry sexer
poultry breeder;broadMatch;poultry producers
poultry producers;narrowMatch;poultry breeder
aviation meteorologist;broadMatch;meteorologist
meteorologist;narrowMatch;aviation meteorologist
weather forecaster;broadMatch;meteorologist
meteorologist;narrowMatch;weather forecaster
clothing quality inspector;broadMatch;product quality inspector
chemical engineer;narrowMatch;oenologist
traditional and complementary medicine associate professionals;narrowMatch;herbal therapist
business manager;narrowMatch;branch manager
telecommunications engineering technician;broadMatch;telecommunications engineering technicians
telecommunications engineering technicians;narrowMatch;telecommunications engineering technician
ergonomist;broadMatch;health and safety officer
health and safety officer;narrowMatch;ergonomist
fire prevention and protection engineer;broadMatch;health and safety engineer
health and safety engineer;narrowMatch;fire prevention and protection engineer
dating service consultant;broadMatch;personal services workers not elsewhere classified
personal services workers not elsewhere classified;narrowMatch;dating service consultant
club host/club hostess;broadMatch;personal services workers not elsewhere classified
personal services workers not elsewhere classified;narrowMatch;club host/club hostess
escort;broadMatch;personal services workers not elsewhere classified
bioengineer;narrowMatch;biomedical engineer
personal services workers not elsewhere classified;narrowMatch;escort
information and communications technology operations technicians;narrowMatch;data centre operator
stone engraver;broadMatch;stonemason
stonemason;narrowMatch;stone engraver
stonemason;broadMatch;stonemasons, stone cutters, splitters and carvers
stonemasons, stone cutters, splitters and carvers;narrowMatch;stonemason
light board operator;broadMatch;theatre technician
theatre technician;narrowMatch;light board operator
